Tiempo (s)	Potencia (W)	Temperatura foco caliente (°C)	Temperatura foco frío (°C)
$720.000 \pm 0.001$	$55778.400000000 \pm 7.200416766$	$41.500 \pm 0.100$	$6.100 \pm 0.100$
$750.000 \pm 0.001$	$58102.500000000 \pm 7.500400096$	$42.100 \pm 0.100$	$5.900 \pm 0.100$
$780.000 \pm 0.001$	$59950.800000000 \pm 7.800378674$	$42.600 \pm 0.100$	$5.700 \pm 0.100$
$810.000 \pm 0.001$	$62750.700000000 \pm 8.100370461$	$43.300 \pm 0.100$	$5.200 \pm 0.100$
$840.000 \pm 0.001$	$65074.800000000 \pm 8.400357231$	$43.700 \pm 0.100$	$5.000 \pm 0.100$
$870.000 \pm 0.001$	$66868.200000000 \pm 8.700339503$	$44.100 \pm 0.100$	$4.700 \pm 0.100$
$900.000 \pm 0.001$	$58464.000000000 \pm 9.000234430$	$44.800 \pm 0.100$	$4.500 \pm 0.100$
$930.000 \pm 0.001$	$72614.400000000 \pm 9.300327762$	$45.300 \pm 0.100$	$4.300 \pm 0.100$
$960.000 \pm 0.001$	$67929.600000000 \pm 9.600260777$	$45.900 \pm 0.100$	$4.100 \pm 0.100$
$990.000 \pm 0.001$	$75438.000000000 \pm 9.900293250$	$46.100 \pm 0.100$	$3.800 \pm 0.100$
$1020.000 \pm 0.001$	$76908.000000000 \pm 10.200278681$	$46.800 \pm 0.100$	$3.600 \pm 0.100$
$1050.000 \pm 0.001$	$80703.000000000 \pm 10.500281304$	$47.100 \pm 0.100$	$3.500 \pm 0.100$
$1080.000 \pm 0.001$	$84326.400000000 \pm 10.800282241$	$47.500 \pm 0.100$	$3.300 \pm 0.100$
$1110.000 \pm 0.001$	$86668.800000000 \pm 11.100274613$	$47.900 \pm 0.100$	$3.100 \pm 0.100$
$1140.000 \pm 0.001$	$89011.200000000 \pm 11.400267387$	$48.200 \pm 0.100$	$3.000 \pm 0.100$
$1170.000 \pm 0.001$	$89856.000000000 \pm 11.700252059$	$48.700 \pm 0.100$	$2.900 \pm 0.100$
$1200.000 \pm 0.001$	$92964.000000000 \pm 12.000250064$	$48.800 \pm 0.100$	$2.700 \pm 0.100$
$1230.000 \pm 0.001$	$95288.100000000 \pm 12.300243965$	$49.400 \pm 0.100$	$2.600 \pm 0.100$
$1260.000 \pm 0.001$	$97612.200000000 \pm 12.600238157$	$49.700 \pm 0.100$	$2.500 \pm 0.100$
$1290.000 \pm 0.001$	$99936.300000000 \pm 12.900232618$	$49.900 \pm 0.100$	$2.400 \pm 0.100$
$1320.000 \pm 0.001$	$102260.400000000 \pm 13.200227331$	$50.200 \pm 0.100$	$2.300 \pm 0.100$
$1350.000 \pm 0.001$	$104584.500000000 \pm 13.500222280$	$50.700 \pm 0.100$	$2.200 \pm 0.100$
$1380.000 \pm 0.001$	$88044.000000000 \pm 13.800147479$	$50.900 \pm 0.100$	$2.100 \pm 0.100$
$1410.000 \pm 0.001$	$89958.000000000 \pm 14.100144341$	$50.900 \pm 0.100$	$2.000 \pm 0.100$
$1440.000 \pm 0.001$	$111556.800000000 \pm 14.400208387$	$51.300 \pm 0.100$	$2.000 \pm 0.100$
$1470.000 \pm 0.001$	$133887.600000000 \pm 14.700282159$	$51.500 \pm 0.100$	$1.800 \pm 0.100$
$1500.000 \pm 0.001$	$116205.000000000 \pm 15.000200052$	$51.700 \pm 0.100$	$1.800 \pm 0.100$
$1530.000 \pm 0.001$	$118529.100000000 \pm 15.300196129$	$52.100 \pm 0.100$	$1.700 \pm 0.100$
$1560.000 \pm 0.001$	$122756.400000000 \pm 15.600198464$	$52.200 \pm 0.100$	$1.700 \pm 0.100$
$1590.000 \pm 0.001$	$126182.400000000 \pm 15.900198049$	$52.500 \pm 0.100$	$1.700 \pm 0.100$
$1620.000 \pm 0.001$	$126489.600000000 \pm 16.200188162$	$52.900 \pm 0.100$	$1.600 \pm 0.100$
$1650.000 \pm 0.001$	$127825.500000000 \pm 16.500181866$	$52.800 \pm 0.100$	$1.600 \pm 0.100$
$1680.000 \pm 0.001$	$106848.000000000 \pm 16.800120385$	$53.100 \pm 0.100$	$1.500 \pm 0.100$
$1710.000 \pm 0.001$	$160466.400000000 \pm 17.100257482$	$53.300 \pm 0.100$	$1.500 \pm 0.100$
$1740.000 \pm 0.001$	$114004.800000000 \pm 17.400123358$	$53.600 \pm 0.100$	$1.400 \pm 0.100$
$1770.000 \pm 0.001$	$137121.900000000 \pm 17.700169536$	$53.500 \pm 0.100$	$1.400 \pm 0.100$
$1800.000 \pm 0.001$	$142848.000000000 \pm 18.000174944$	$54.000 \pm 0.100$	$1.300 \pm 0.100$
